"URL","Page title","Page type","Current clicks","Previous clicks","Current impressions","Previous impressions","Average position","CTR","Estimated buyer intent","Existing monetization","Recommended action","Priority","Confidence level"
"https://backyardsaunapro.com/guides/best-cube-sauna/","Best Cube Sauna (2025): Top Picks + Buyer","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-electric-sauna-heaters/","Best Electric Sauna Heaters for Home Use (2025) Tested & Ranked","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-garage-sauna/","Best Garage Sauna (2025) Indoor Setup Guide and Top Picks","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-home-sauna/","Best Home Saunas of 2026: 6 Picks for Every Space & Budget","buying guide","0","0","329","217","","","High","Amazon; Sun Home; Select Saunas; Kit capture","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-indoor-sauna-kits/","7 Best Indoor Sauna Kits (2026): Infrared & Traditional Picks","buying guide","0","0","216","796","","","High","Amazon; Sun Home; Kit capture","Validate products, methodology, CTA, and traffic","Critical","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-infrared-sauna-blanket/","Best Infrared Sauna Blankets (2025): What to Buy and What to Skip","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-infrared-sauna-of-2026/","Best Infrared Sauna of 2026: Top Picks Reviewed","buying guide","","","","","","","High","","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-location-backyard-sauna/","Best Location for a Backyard Sauna: A Site-Verification Guide","buying guide","0","0","0","1","","","High","","Monitor revised page indexing and engagement","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-outdoor-sauna-cover/","Best Outdoor Sauna Cover (2025): Waterproof Picks for Barrel Saunas","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-outdoor-sauna-of-2026/","Best Outdoor Sauna of 2026: Top Backyard Picks Reviewed","buying guide","","","","","","","High","","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-portable-sauna/","5 Best Portable Saunas of 2026: Steam Tents & Infrared Picks","buying guide","0","0","231","200","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-sauna-accessories/","Best Sauna Accessories for Beginners (2025) What You Actually Need","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-backrest/","Best Sauna Backrest (2025): Top Picks for Comfort and Safety","buying guide","0","0","57","84","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-sauna-bucket-ladle/","Best Sauna Bucket and Ladle Set (2025): Top Picks Reviewed","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-essential-oils/","Best Sauna Essential Oils and Essences (2025)","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-for-deck/","Best Sauna for a Deck (2025): Top Picks and Weight Considerations","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-for-small-backyard/","Best Sauna for a Small Backyard (2025) Compact Options That Work","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-heater/","Best Sauna Heater (2025): Top Electric and Wood-Burning Picks","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-lighting/","Best Sauna Lighting (2025): What Works and What to Avoid","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-stones/","Best Sauna Stones (2025): Olivine, Granite, and What Actually Works","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-sauna-thermometer-hygrometer/","Best Sauna Thermometer and Hygrometer (2025)","buying guide","0","0","19","0","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-sauna-towels/","Best Sauna Towels (2025): What Actually Works","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-saunas-under-2000/","Best Backyard Saunas Under $2,000 (2025) Real Value Picks","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-saunas-under-3000/","Best Backyard Saunas Under $3,000 (2026): Barrel Kits, Infrared & More","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-saunas-under-5000/","Best Saunas Under $5,000 (2025) Top Picks for Every Style","buying guide","0","0","7","0","","","High","Amazon; Select Saunas","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-wood-burning-sauna-heaters/","Best Wood-Burning Sauna Heaters (2025) Top Stoves Reviewed","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/calories-burned-in-sauna/","Calories Burned in a Sauna: Calculator and Real Numbers","health information","","","","","","","Low-medium","","Primary-source medical review","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/cedar-vs-hemlock-sauna/","Cedar vs Hemlock Sauna: Which Wood Is Better?","comparison","0","0","30","0","","","Medium-high","","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/contacts-in-sauna/","Can You Wear Contact Lenses in a Sauna? What Optometrists Say","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/electric-vs-wood-fired-sauna/","Electric vs Wood-Fired Sauna: Which Is Better for Your Backyard?","comparison","","","","","","","Medium-high","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/gravel-pad-for-barrel-sauna/","Gravel Pad for Barrel Sauna: How to Prep Your Site the Right Way","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/gym-sauna-etiquette/","Gym Sauna Etiquette: What to Do and What to Avoid","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/headphones-in-sauna/","Headphones in a Sauna: What Works (and What Gets Destroyed)","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/how-long-to-stay-in-sauna/","How Long Should You Stay in a Sauna? (By Experience Level)","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/how-much-space-for-backyard-sauna/","How Much Space Do You Need for a Backyard Sauna? (Size Guide)","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/how-to-assemble-barrel-sauna/","How to Assemble a Barrel Sauna: Step-by-Step Guide (2025)","planning guide","0","0","8","0","","","Medium-high","Amazon","Await analytics data","Medium","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/how-to-build-a-sauna/","How to Build a Sauna: A Safe Planning Sequence for Kits and Custom Builds","planning guide","","","","","","","Medium-high","","Monitor revised page indexing and engagement","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/how-to-use-a-sauna/","How to Use a Sauna: A Beginner","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/","Sauna Guides Backyard Sauna Pro","informational guide","0","0","7","4","","","Low-medium","","Await analytics data","Medium","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/infrared-vs-traditional-sauna/","Infrared vs Traditional Sauna: Which Is Right for You? (2025 Guide)","comparison","0","0","2","0","","","Medium-high","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/mobile-sauna-for-sale/","Mobile Sauna for Sale (2025): What to Know Before You Buy","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-buying-checklist/","Outdoor Sauna Buying Checklist: Verify Before You Order","informational guide","","","","","","","Low-medium","","Monitor revised page indexing and engagement","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-cost/","How Much Does an Outdoor Sauna Cost? (2025 Price Guide)","planning guide","","","","","","","Medium-high","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-for-sale/","Outdoor Sauna for Sale: Best Picks and Where to Buy in 2025","buying guide","","","","","","","High","Amazon; Select Saunas","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-ideas/","Outdoor Sauna Ideas: Designs, Layouts, and Backyard Inspiration (2025)","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-permits/","Do You Need a Permit for an Outdoor Sauna? (2025 Guide)","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-sauna-winter/","Outdoor Sauna in Winter: How to Use, Maintain, and Love It in the Cold","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/outdoor-vs-indoor-sauna/","Outdoor Sauna vs Indoor Sauna: Which One Is Right for You?","comparison","0","0","61","8","","","Medium-high","","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/propane-sauna-heater/","Propane Sauna Heaters: How They Work, Top Models, and What to Know","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/redwood-outdoors-vs-almost-heaven/","Redwood Outdoors vs Almost Heaven Sauna (2025): Which Should You Buy?","comparison","","","","","","","Medium-high","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-after-workout/","Sauna After Workout: Benefits, Timing, and What the Research Says","health information","","","","","","","Low-medium","","Primary-source medical review","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-before-or-after-workout/","Sauna Before or After Workout: What","health information","","","","","","","Low-medium","","Primary-source medical review","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-benefits-for-skin/","Sauna Benefits for Skin: What","health information","","","","","","","Low-medium","","Primary-source medical review","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-cold-plunge/","Sauna and Cold Plunge: How to Do Contrast Therapy Right","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-cost/","How Much Does a Sauna Cost? (2025 Pricing Guide)","planning guide","","","","","","","Medium-high","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-door-guide/","Sauna Doors: What to Know, Sizes, and What to Buy","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-during-pregnancy/","Sauna During Pregnancy: Current Guidance and Safer Next Steps","health information","0","0","5","2","","","Low-medium","","Primary-source medical review","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/sauna-electrical-requirements/","Sauna Electrical Requirements: What You Need to Know Before Installing","planning guide","","","","","","","Medium-high","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-etiquette/","Sauna Etiquette: What to Know Before You Go","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-for-back-pain/","Sauna for Back Pain: Evidence, Limits, and Warning Signs","health information","0","0","1","3","","","Low-medium","","Monitor revised page indexing and engagement","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/sauna-for-couples/","Best Sauna for Two People (2025): Outdoor and Indoor Picks for Couples","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-for-hangover/","Sauna for Hangover: Does It Actually Help?","health information","","","","","","","Low-medium","","Primary-source medical review","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-for-weight-loss/","Sauna for Weight Loss: Water Weight, Calories, and Evidence","health information","","","","","","","Low-medium","","Monitor revised page indexing and engagement","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-foundation-guide/","Sauna Foundation Guide: Base Options for Outdoor Saunas (2025)","planning guide","","","","","","","Medium-high","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-gift-ideas/","Sauna Gift Ideas (2025): Best Gifts for Sauna Lovers","informational guide","0","0","3","5","","","Low-medium","Amazon","Await analytics data","Medium","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/sauna-health-benefits/","Sauna Health Benefits: What the Evidence Can and Cannot Show","health information","","","","","","","Low-medium","","Monitor revised page indexing and engagement","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-heater-sizing-guide/","Sauna Heater Sizing Guide (2025) What Size Heater Do You Need?","planning guide","","","","","","","Medium-high","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-insulation/","Sauna Insulation Guide: What to Use and How to Install It","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-kits/","Sauna Kits: Best Outdoor and Indoor Options in 2025","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-maintenance-guide/","Backyard Sauna Maintenance Guide Keep Your Sauna Lasting Decades","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-privacy-screen/","Outdoor Sauna Privacy: Screens, Fences, and Simple Solutions (2025)","informational guide","0","0","5","0","","","Low-medium","Amazon","Await analytics data","Medium","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/sauna-room-ideas/","Sauna Room Ideas: Design, Layout, and Material Inspiration (2025)","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-tent/","Sauna Tent (2025): What They Are, Best Picks, and Who They","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-ventilation/","Sauna Ventilation: How to Do It Right (Intake, Exhaust, Placement)","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-vs-hot-tub/","Sauna vs Hot Tub: Which Is Worth Buying in 2025?","comparison","","","","","","","Medium-high","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-vs-steam-room/","Sauna vs Steam Room: Key Differences and Which One to Buy","comparison","","","","","","","Medium-high","","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/sauna-wood/","Sauna Wood: Best Species for Walls, Benches, and Framing (2025)","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/what-to-wear-in-sauna/","What to Wear in a Sauna: Home, Gym, and Public Saunas","informational guide","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/wood-burning-sauna/","Wood-Burning Sauna: Stoves, Setup, and Whether It","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/how-we-review/","How We Research and Review Saunas | Backyard Sauna Pro","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/","Backyard Sauna Pro | Best Outdoor Saunas Reviewed (2026)","homepage","0","0","112","91","","","Low-medium","Amazon; Sun Home; Kit capture","Await analytics data","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/newsletter/","Backyard Sauna Pro Newsletter and Buying Checklist","trust or utility page","","","","","","","Low-medium","Kit capture","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/partners/","Partner With Backyard Sauna Pro","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/privacy/","Privacy Policy Backyard Sauna Pro","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/reviews/almost-heaven-pinnacle-review/","Almost Heaven Pinnacle Barrel Sauna Review (2025) Is It Worth It?","product review","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/reviews/dynamic-saunas-barcelona-review/","Dynamic Saunas Barcelona Review (2025): Best Under $1k?","product review","0","0","7","2","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/reviews/harvia-kip-60b-review/","Harvia KIP 60B Review: Specifications, Installation, Pros and Cons","product review","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/reviews/","Sauna Reviews Backyard Sauna Pro","product review","0","0","40","14","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/sauna-planner/","Free Sauna Project Planner: Create a Buyer Brief","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/tools/sauna-cost-calculator/","Sauna Project Cost Calculator: Total Your Real Quotes","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/tools/sauna-electricity-cost-calculator/","Sauna Electricity Cost Calculator","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
