company,website,company_type,product_category,primary_contact,email,linkedin,geographic_coverage,affiliate_program,installer_network,existing_advertising,content_quality,partnership_opportunity,last_contact,status,next_action,notes,source_url,verified_date
"Almost Heaven Group","https://www.almostheaven.net","manufacturer and dealer","custom saunas and kits","","Sales@AlmostHeaven.net","","United States","Not verified","Listed SaunaLife dealer","","","Custom-project lead pilot and case study","","research","Verify service regions and project minimums","Distinct company from almostheaven.com","https://saunalife.com/find-a-dealer/","2026-08-05"
"Amplify Your Home","https://www.amplifyourhome.com","authorized dealer","SaunaLife and home wellness","","Info@AmplifyourHome.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and installation case study","","research","Verify coverage, budget minimum, and installation capability","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Avid Health and Wellness","https://www.avidhealthandwellness.com","authorized dealer","saunas and wellness","","Sales@AvidHealthAndWellness.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and product comparison data","","research","Verify coverage and project criteria","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Bio Wellness Collection","https://www.biowellnesscollection.com","authorized dealer","saunas and wellness","","Support@BioWellnessCollection.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot","","research","Verify coverage and response standards","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Chill Fire Saunas","https://www.chillfiresaunas.com","authorized dealer","saunas","","ChillFireSaunas@gmail.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and installation case study","","research","Verify geographic coverage and install scope","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Cottage Spas","https://www.cottagespas.com","authorized dealer","saunas and spas","","Info@CottageSpas.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Regional dealer-lead pilot","","research","Verify coverage and sauna project minimums","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Delux Saunas","https://www.deluxsaunas.com","authorized dealer","saunas","","Info@DeluxSaunas.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and product-data collaboration","","research","Verify coverage and partner terms","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Direct Home Connection","https://www.directhomeconnection.com","authorized dealer","saunas and home wellness","","Support@DirectHomeConnection.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and referral partnership","","research","Verify coverage, install scope, and attribution","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Divine Saunas","https://www.divinesaunas.com","authorized dealer","saunas","","Info@DivineSaunas.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and buyer-guide data","","research","Verify coverage and response SLA","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Dreamwood Living","https://www.dreamwoodliving.com","authorized dealer","saunas and outdoor living","","CS@DreamWoodLiving.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Outdoor-project lead pilot and case study","","research","Verify coverage and installation capability","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Elite Sauna Co.","https://www.elitesaunaco.com","authorized dealer","saunas","","info@elitesaunaco.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Regional dealer-lead pilot and installation case study","2026-08-10","paused","Verify a working recipient before any retry","Initial screened buyer-brief pilot inquiry bounced on 2026-08-10 because the domain had no working MX resolution; do not follow up at this address","https://saunalife.com/find-a-dealer/","2026-08-11"
"Finn Country Sauna","https://www.finncountrysauna.com","authorized dealer","traditional saunas","","sales@finncountrysauna.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Traditional-sauna lead pilot and documented case study","2026-08-10","referred","No follow-up needed; continue with Bruce Ruotsala at Finn Sauna","Initial Minnesota buyer-brief pilot inquiry was forwarded through Finn Sauna to Bruce Ruotsala","https://saunalife.com/find-a-dealer/","2026-08-11"
"Finn Sauna","https://www.finn-sauna.com","builder and installer","custom saunas, sauna kits, service and remote consulting","Bruce Ruotsala","bruce@finn-sauna.com","","NH, VT, MA; selected ME, CT, RI projects; national kits and remote consulting","Not verified","Full installation and service in New England; kits and remote consulting nationally","","Detailed planning, project coordination, product and service information","Manually reviewed buyer-brief pilot and consented regional lead routing","2026-08-11","pilot_accepted","Add an unsure option, keep ZIP required, separate regional installation from national consulting, and route the first consented lead through Finn Sauna's form with a Backyard Sauna Pro referral note","Bruce agreed to test the pilot. He marked ZIP as required and the other qualification fields as useful, noted that infrared inquiries may not fit, confirmed national kit and consulting work without full installation, and asked that consented referrals use Finn Sauna's form so they enter its system and are assigned to sales.","https://www.finn-sauna.com/contact","2026-08-11"
"Haven of Heat","https://www.havenofheat.com","authorized dealer","saunas and wellness","","Info@HavenOfHeat.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and affiliate inquiry","","research","Verify coverage and current partnership terms","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Heavenly Sauna","https://www.heavenly-sauna.com","authorized dealer","saunas","","Sales@Heavenly-Sauna.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Regional dealer-lead pilot","","research","Verify coverage and install scope","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
"Homage Row","https://www.homagerow.com","authorized dealer","saunas and outdoor living","","Support@HomageRow.com","","United States; verify service area","Not verified","Listed SaunaLife dealer","","","Dealer-lead pilot and outdoor project content","","research","Verify coverage and project criteria","Public contact listed by SaunaLife","https://saunalife.com/find-a-dealer/","2026-08-05"
